ID,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,type
1,7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5,red
2,7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5,red
3,7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,red
4,8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,5,red
5,7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4,red
6,6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6,red
7,7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5,red
8,6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5,red
9,6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6,red
10,5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4,red
11,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,red
12,7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6,red
13,6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,5,red
14,5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5,red
15,8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5,red
16,6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6,red
17,10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5,red
18,7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7,red
19,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,red
20,9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5,red
21,7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5,red
22,6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6,red
23,6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5,red
24,6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5,red
25,6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5,red
26,7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5,red
27,8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5,red
28,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,red
29,4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6,red
